"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","Subscribed","Age_Group","dur_group","Quarter"
28,"technician","single","tertiary","no",356,"no","no","cellular",2,"mar",76,2,-1,0,"unknown","no","0","20-30","<200","Q2"
34,"admin.","married","secondary","no",61,"no","yes","unknown",5,"may",21,1,-1,0,"unknown","no","0","31-45","<200","Q2"
38,"management","single","tertiary","no",0,"no","no","cellular",24,"jul",164,1,-1,0,"unknown","no","0","31-45","<200","Q3"
39,"blue-collar","single","primary","no",6,"yes","no","cellular",19,"nov",286,2,-1,0,"unknown","no","0","31-45","201-400","Q4"
34,"blue-collar","single","secondary","no",186,"no","no","cellular",2,"feb",342,1,-1,0,"unknown","no","0","31-45","201-400","Q1"
57,"retired","married","primary","no",5799,"no","no","unknown",17,"jun",97,1,-1,0,"unknown","no","0","46-64","<200","Q3"
46,"services","married","secondary","no",271,"yes","no","unknown",16,"may",134,4,-1,0,"unknown","no","0","46-64","<200","Q2"
57,"blue-collar","married","primary","no",23,"yes","no","telephone",31,"jul",25,8,-1,0,"unknown","no","0","46-64","<200","Q3"
49,"services","married","secondary","no",66,"yes","yes","cellular",21,"nov",59,4,-1,0,"unknown","no","0","46-64","<200","Q4"
35,"technician","married","secondary","no",2,"no","no","telephone",28,"jan",653,3,-1,0,"unknown","no","0","31-45","601-800","Q1"
51,"blue-collar","divorced","primary","no",-28,"no","yes","unknown",2,"jul",220,2,-1,0,"unknown","no","0","46-64","201-400","Q3"
28,"management","single","tertiary","no",0,"yes","no","cellular",16,"jul",767,5,-1,0,"unknown","yes","1","20-30","601-800","Q3"
50,"blue-collar","married","primary","no",3924,"yes","no","cellular",20,"apr",122,2,-1,0,"unknown","no","0","46-64","<200","Q2"
44,"unemployed","married","secondary","no",304,"yes","no","unknown",12,"may",129,2,-1,0,"unknown","no","0","31-45","<200","Q2"
29,"blue-collar","single","primary","no",950,"yes","no","unknown",4,"jun",135,3,-1,0,"unknown","no","0","20-30","<200","Q3"
45,"management","divorced","tertiary","no",959,"no","no","unknown",18,"jun",74,1,-1,0,"unknown","no","0","31-45","<200","Q3"
25,"technician","single","tertiary","no",777,"yes","no","unknown",14,"may",351,1,-1,0,"unknown","no","0","20-30","201-400","Q2"
56,"management","married","tertiary","no",217,"no","yes","cellular",21,"jul",121,2,-1,0,"unknown","no","0","46-64","<200","Q3"
43,"unemployed","divorced","secondary","no",4094,"yes","no","cellular",21,"nov",63,1,-1,0,"unknown","no","0","31-45","<200","Q4"
37,"blue-collar","married","secondary","no",1053,"no","no","unknown",16,"jun",405,3,-1,0,"unknown","no","0","31-45","401-600","Q3"
40,"services","married","secondary","no",113,"yes","no","unknown",4,"jun",126,1,-1,0,"unknown","no","0","31-45","<200","Q3"
42,"blue-collar","divorced","secondary","no",1491,"yes","no","cellular",6,"may",203,2,334,2,"failure","no","0","31-45","201-400","Q2"
